27,34
state,symbol,output,next_state,next_state_is_final
5,letra,letra,5,0
5,digito,digito,5,0
8,digito,digito,8,0
0,},} <ERRO_COMENTARIO_MAL_FORMADO>,1,1
0,>,>,12,0
0,-,- simb_menos,19,1
0,<,<,3,0
0,=,= simb_igual,2,1
23,=,= simb_atribuicao,24,1
23,outro_:=,<ERRO_SIMBOLO_INCOMPLETO>,25,1
3,=,= simb_menor_igual,7,1
5,outro,identificador,6,1
3,>,> simb_diferente,11,1
0,tab,lambda,0,1
29,outro_},lambda,29,0
0,;,; simb_ponto_virgula,16,1
0,+,+ simb_mais,18,1
0,espaco,lambda,0,1
0,.,. simb_ponto,17,1
0,*,* simb_mult,21,1
8,nao_digito,numero,10,1
0,letra,letra,5,0
0,virgula,virgula simb_virgula,15,1
0,inválido,<ERRO_CARACTERE_INVALIDO>,20,1
0,:,:,23,0
12,outro_=,simb_maior_que,14,1
29,},lambda,30,0
0,/,/ simb_div,22,1
0,{,lambda,29,0
12,=,= simb_maior_igual,13,1
29,quebra_linha,{ <ERRO_COMENTARIO_MAL_FORMADO>,1,1
3,outro_>_=,simb_menor_que,4,1
0,quebra_linha,lambda,0,1
0,digito,digito,8,0
