VAR, VAR 
END, END 
1, 1 
+, simb_mais 
1, 1 
+, simb_mais 
ger, ger 
@, <ERRO_CARACTERE_INVALIDO> 
2, 2 
n, n 
1, 1 
@, <ERRO_CARACTERE_INVALIDO> 
fat, fat 
;, simb_ponto_virgula 
BEGIN, BEGIN 
;, simb_ponto_virgula 
n, n 
:=, simb_atribuicao 
4, 4 
;, simb_ponto_virgula 
;, simb_ponto_virgula 
;, simb_ponto_virgula 
;, simb_ponto_virgula 
;, simb_ponto_virgula 
;, simb_ponto_virgula 
;, simb_ponto_virgula 
;, simb_ponto_virgula 
:, : 
1, 1 
#, <ERRO_CARACTERE_INVALIDO> 
7, 7 
BEG7, BEG7 
$, <ERRO_CARACTERE_INVALIDO> 
:=, simb_atribuicao 
=, simb_igual 
-, simb_menos 
_, <ERRO_CARACTERE_INVALIDO> 
088, 088 
*, simb_mult 
*, simb_mult 
IN, IN 
@, <ERRO_CARACTERE_INVALIDO> 
{, <ERRO_COMENTARIO_MAL_FORMADO> 
END, END 
., simb_ponto 
